job_title,experience_level,employment_type,company_size,company_location,employee_residence,industry,remote_ratio,years_experience,education_level
Analytics Engineer,Mid,Freelance,M,GB,GB,Healthcare,100,9.6,Masters
Machine Learning Engineer,Senior,Full-time,L,US,US,Finance,100,11.8,Bachelors
Data Engineer,Senior,Full-time,M,GB,GB,Retail,0,11.7,Bachelors
Machine Learning Engineer,Mid,Full-time,L,PL,GB,Technology,100,7.9,Masters
Data Scientist,Entry,Full-time,S,IN,IN,Healthcare,100,3.0,Bachelors
Business Intelligence Analyst,Mid,Full-time,M,US,US,Finance,0,10.0,Bachelors
Data Science Manager,Mid,Full-time,M,FR,FR,Retail,50,7.4,Bachelors
Data Scientist,Lead,Full-time,M,US,US,Finance,100,16.6,Bachelors
Data Engineer,Lead,Full-time,M,US,US,Technology,100,16.2,Masters
MLOps Engineer,Senior,Full-time,M,IN,IN,Retail,50,12.8,Bachelors
Data Engineer,Executive,Full-time,S,US,US,Consulting,100,16.8,Bachelors
AI Engineer,Mid,Part-time,M,AU,AU,Government,50,3.9,Bachelors
Machine Learning Engineer,Senior,Full-time,M,GB,BR,Consulting,100,10.6,Masters
Analytics Engineer,Mid,Full-time,L,US,BR,Government,100,9.1,Bachelors
Data Science Manager,Entry,Contract,L,PL,AU,Technology,100,1.8,PhD
Business Intelligence Analyst,Entry,Full-time,M,FR,FR,Consulting,50,1.7,Bachelors
AI Engineer,Entry,Contract,L,US,US,Manufacturing,0,3.9,PhD
Data Analyst,Entry,Full-time,M,PL,PL,Healthcare,50,1.4,Masters
Computer Vision Engineer,Executive,Full-time,M,US,US,Finance,0,20.7,Bootcamp
Data Scientist,Entry,Full-time,M,US,US,Technology,0,4.6,Bachelors
Data Engineer,Lead,Full-time,M,US,US,Retail,0,12.0,Masters
Data Engineer,Lead,Full-time,L,DE,AU,Consulting,100,17.8,PhD
Research Scientist,Mid,Part-time,S,US,US,Technology,0,3.9,Self-taught
Machine Learning Engineer,Mid,Full-time,M,DE,DE,Retail,50,7.4,PhD
Data Scientist,Senior,Full-time,M,CA,CA,Manufacturing,50,9.9,Self-taught
Data Scientist,Mid,Full-time,M,SG,SG,Finance,0,6.6,Masters
AI Engineer,Mid,Full-time,L,CA,CA,Media,0,1.9,Bachelors
Machine Learning Engineer,Entry,Full-time,M,NL,NL,Technology,0,3.9,Self-taught
AI Engineer,Entry,Full-time,L,US,BR,Consulting,50,3.6,Bachelors
AI Engineer,Senior,Full-time,S,US,US,Energy,100,8.5,PhD
Business Intelligence Analyst,Mid,Full-time,L,DE,DE,Finance,0,7.1,Masters
Computer Vision Engineer,Lead,Full-time,S,US,US,Technology,100,12.9,PhD
Data Analyst,Senior,Full-time,M,BR,BR,Media,100,12.4,Bachelors
Computer Vision Engineer,Mid,Full-time,L,FR,GB,Media,100,7.0,Bachelors
Analytics Engineer,Senior,Full-time,S,NL,NL,Healthcare,50,13.1,Masters
Research Scientist,Senior,Full-time,L,DE,DE,Technology,0,12.0,Bachelors
Research Scientist,Senior,Full-time,L,CA,CA,Finance,50,9.2,Masters
AI Engineer,Lead,Full-time,S,US,US,Healthcare,50,20.4,Bachelors
Computer Vision Engineer,Mid,Full-time,M,US,US,Technology,100,8.6,Masters
Data Analyst,Senior,Full-time,M,IN,IN,Finance,100,8.5,Bachelors
AI Engineer,Mid,Full-time,M,US,US,Finance,50,6.1,PhD
LLM Engineer,Entry,Full-time,S,US,US,Finance,0,2.5,Bachelors
Data Scientist,Senior,Full-time,M,GB,GB,Technology,50,9.3,Masters
AI Engineer,Entry,Full-time,M,AU,AU,Energy,50,1.3,PhD
Data Engineer,Entry,Full-time,S,US,US,Manufacturing,50,2.8,Masters
Analytics Engineer,Senior,Full-time,L,DE,DE,Technology,50,7.2,PhD
Data Scientist,Lead,Full-time,L,FR,FR,Media,0,16.2,Masters
AI Engineer,Senior,Contract,M,FR,FR,Technology,50,10.5,PhD
Business Intelligence Analyst,Lead,Full-time,S,US,FR,Government,50,14.6,PhD
AI Engineer,Mid,Full-time,M,DE,DE,Finance,0,5.8,Bachelors
Data Engineer,Mid,Full-time,M,BR,BR,Retail,100,7.3,Bachelors
Research Scientist,Mid,Freelance,L,US,US,Finance,50,6.3,Masters
Data Engineer,Entry,Full-time,M,US,US,Technology,0,3.8,Masters
Research Scientist,Entry,Full-time,M,GB,GB,Technology,50,3.5,PhD
Data Scientist,Mid,Full-time,L,AU,AU,Finance,100,6.9,Bootcamp
Data Analyst,Lead,Full-time,S,BR,BR,Government,100,15.0,Masters
Data Scientist,Entry,Full-time,L,BR,US,Technology,100,5.1,Bootcamp
Data Scientist,Mid,Full-time,L,US,US,Finance,0,4.4,Masters
AI Engineer,Executive,Full-time,M,US,US,Finance,100,21.1,Masters
Data Analyst,Lead,Full-time,M,PL,PL,Technology,50,16.5,PhD
Machine Learning Engineer,Entry,Full-time,S,DE,DE,Consulting,0,2.8,Masters
Research Scientist,Senior,Contract,S,US,US,Technology,0,9.9,Masters
Business Intelligence Analyst,Lead,Full-time,M,US,US,Retail,50,14.9,Masters
Data Engineer,Entry,Full-time,M,BR,BR,Consulting,0,5.2,Masters
Data Engineer,Mid,Full-time,M,IN,IN,Technology,50,4.9,Bootcamp
Data Engineer,Senior,Full-time,M,US,IN,Technology,100,10.6,Bachelors
Data Scientist,Senior,Full-time,L,IN,IN,Consulting,50,12.6,Masters
Research Scientist,Lead,Full-time,M,AU,IN,Retail,0,17.5,Self-taught
LLM Engineer,Mid,Full-time,M,IN,IN,Education,0,5.4,PhD
Machine Learning Engineer,Entry,Full-time,M,CA,CA,Healthcare,0,1.7,PhD
AI Engineer,Executive,Full-time,S,US,US,Manufacturing,0,18.1,Bachelors
Data Science Manager,Mid,Full-time,M,GB,GB,Technology,100,6.4,Self-taught
MLOps Engineer,Senior,Full-time,S,GB,GB,Technology,100,8.5,Masters
Analytics Engineer,Lead,Part-time,S,ES,ES,Technology,50,11.1,PhD
Business Intelligence Analyst,Senior,Full-time,M,US,DE,Manufacturing,0,9.2,Bachelors
Data Analyst,Mid,Full-time,S,US,DE,Healthcare,50,4.5,Bachelors
Research Scientist,Mid,Full-time,L,GB,GB,Finance,50,6.4,Bootcamp
MLOps Engineer,Entry,Full-time,L,DE,DE,Technology,0,1.8,Masters
LLM Engineer,Entry,Part-time,M,SG,SG,Media,0,3.9,Masters
Data Engineer,Senior,Full-time,M,SG,SG,Retail,0,13.9,Self-taught
MLOps Engineer,Entry,Full-time,M,DE,DE,Healthcare,100,0.0,Masters
AI Engineer,Mid,Full-time,L,IN,IN,Finance,0,5.1,Masters
Data Engineer,Mid,Full-time,S,US,US,Energy,0,5.5,Masters
Data Scientist,Lead,Full-time,M,IN,IN,Government,100,12.7,Bachelors
Data Engineer,Senior,Part-time,M,IN,IN,Finance,0,11.4,Bachelors
Data Science Manager,Senior,Full-time,L,US,US,Retail,0,10.2,Masters
Data Analyst,Senior,Full-time,M,US,US,Technology,100,13.0,Self-taught
Data Scientist,Mid,Full-time,M,GB,IN,Finance,50,7.1,PhD
Data Engineer,Senior,Full-time,S,US,US,Finance,100,11.6,Bootcamp
Data Scientist,Entry,Full-time,M,US,US,Consulting,50,3.0,Masters
Data Analyst,Entry,Full-time,M,US,US,Government,50,0.0,Self-taught
Computer Vision Engineer,Executive,Full-time,M,BR,BR,Retail,0,18.0,Masters
Data Engineer,Mid,Full-time,M,FR,FR,Technology,50,7.3,Bootcamp
AI Engineer,Mid,Full-time,M,SG,SG,Education,50,8.4,Bachelors
Data Analyst,Entry,Full-time,M,IN,IN,Finance,100,1.9,Masters
Research Scientist,Mid,Full-time,M,US,US,Retail,50,5.9,Masters
Data Scientist,Lead,Full-time,M,US,US,Energy,0,15.2,Masters
Analytics Engineer,Lead,Full-time,L,GB,GB,Manufacturing,0,12.9,Bootcamp
Machine Learning Engineer,Senior,Full-time,M,GB,GB,Technology,0,13.3,Bachelors
Data Analyst,Mid,Full-time,L,US,US,Finance,100,2.5,Bachelors
Analytics Engineer,Lead,Full-time,M,US,US,Finance,0,11.1,Masters
AI Engineer,Senior,Full-time,M,US,US,Retail,50,9.4,Self-taught
Machine Learning Engineer,Entry,Full-time,M,DE,DE,Technology,0,3.0,Bootcamp
Data Analyst,Senior,Full-time,L,US,US,Retail,100,11.0,PhD
Analytics Engineer,Mid,Full-time,S,US,US,Technology,100,4.4,PhD
Data Engineer,Entry,Full-time,L,FR,FR,Retail,0,2.5,Masters
Data Scientist,Mid,Full-time,S,IN,IN,Finance,100,3.5,PhD
Data Science Manager,Senior,Full-time,M,US,US,Retail,0,11.4,Masters
Data Scientist,Senior,Full-time,M,PL,PL,Retail,50,11.9,Bachelors
Data Scientist,Executive,Freelance,S,SG,GB,Technology,100,15.9,Masters
Machine Learning Engineer,Mid,Full-time,M,PL,PL,Retail,100,5.1,PhD
Data Analyst,Mid,Full-time,S,US,US,Retail,100,8.0,Bachelors
Data Engineer,Lead,Full-time,M,AU,US,Media,100,16.5,Masters
AI Engineer,Mid,Full-time,M,ES,ES,Technology,50,4.5,Self-taught
Data Science Manager,Senior,Full-time,L,DE,DE,Consulting,50,10.8,Masters
Computer Vision Engineer,Entry,Full-time,M,US,US,Retail,100,3.7,Bachelors
Data Scientist,Senior,Freelance,S,US,US,Consulting,50,13.6,Bachelors
Business Intelligence Analyst,Senior,Full-time,M,IN,IN,Government,0,11.5,Masters
Data Analyst,Senior,Full-time,M,NL,NL,Finance,50,9.9,Bootcamp
LLM Engineer,Mid,Full-time,L,US,US,Healthcare,50,7.3,PhD
Data Engineer,Senior,Full-time,M,US,US,Government,100,12.2,PhD
MLOps Engineer,Senior,Full-time,L,GB,GB,Healthcare,50,13.5,Bachelors
MLOps Engineer,Senior,Full-time,M,NL,NL,Healthcare,100,9.3,Bachelors
Business Intelligence Analyst,Lead,Full-time,S,FR,FR,Finance,100,14.0,PhD
Data Science Manager,Mid,Full-time,S,ES,CA,Energy,100,7.9,Bootcamp
Data Analyst,Senior,Full-time,S,US,US,Finance,100,7.1,PhD
AI Engineer,Senior,Full-time,L,US,US,Technology,50,7.7,Bachelors
MLOps Engineer,Senior,Full-time,M,US,US,Healthcare,50,9.6,Masters
Data Scientist,Mid,Contract,M,US,US,Finance,0,2.7,Masters
Research Scientist,Senior,Full-time,L,ES,CA,Manufacturing,100,9.6,Masters
Data Engineer,Mid,Full-time,S,US,US,Retail,50,3.4,Masters
Data Analyst,Senior,Full-time,S,GB,GB,Finance,0,6.8,Bachelors
AI Engineer,Mid,Contract,M,CA,CA,Technology,50,7.7,Bachelors
Machine Learning Engineer,Lead,Full-time,S,SG,SG,Retail,0,13.2,Bachelors
AI Engineer,Mid,Full-time,S,US,US,Consulting,50,8.1,Masters
Research Scientist,Lead,Full-time,M,NL,NL,Media,0,13.7,Bachelors
Machine Learning Engineer,Senior,Full-time,M,US,US,Consulting,100,11.4,Bootcamp
Business Intelligence Analyst,Senior,Full-time,M,DE,DE,Technology,0,11.5,Bachelors
Data Analyst,Senior,Full-time,L,NL,NL,Technology,100,9.2,Bachelors
Data Engineer,Senior,Full-time,M,CA,CA,Technology,50,12.1,Masters
Data Engineer,Senior,Contract,M,AU,AU,Media,100,9.9,Bachelors
Analytics Engineer,Senior,Full-time,M,US,US,Government,0,11.9,Masters
Research Scientist,Entry,Full-time,L,DE,DE,Healthcare,0,0.0,Bachelors
Data Analyst,Mid,Full-time,L,NL,NL,Retail,0,4.8,Bachelors
Analytics Engineer,Mid,Full-time,M,CA,CA,Technology,100,5.2,Bootcamp
Analytics Engineer,Executive,Full-time,L,US,US,Technology,0,18.0,Bachelors
Analytics Engineer,Mid,Full-time,M,US,US,Technology,0,7.9,PhD
Data Scientist,Senior,Contract,M,CA,CA,Retail,0,8.9,Bachelors
Data Analyst,Mid,Full-time,M,US,US,Manufacturing,100,9.0,Bachelors
Business Intelligence Analyst,Executive,Full-time,S,GB,GB,Technology,50,19.7,Bootcamp
Business Intelligence Analyst,Executive,Full-time,S,US,US,Healthcare,0,17.5,Bachelors
Data Analyst,Senior,Full-time,M,US,US,Technology,0,12.2,Bachelors
AI Engineer,Executive,Full-time,M,GB,DE,Technology,100,20.1,Bachelors
Data Analyst,Mid,Full-time,M,GB,GB,Media,50,4.9,Masters
Machine Learning Engineer,Entry,Full-time,M,CA,CA,Technology,100,3.2,Masters
Data Scientist,Lead,Full-time,M,DE,DE,Technology,50,13.4,Bachelors
Data Engineer,Mid,Full-time,M,DE,DE,Technology,100,7.2,Masters
Data Analyst,Senior,Full-time,M,GB,GB,Retail,50,12.7,Bachelors
Computer Vision Engineer,Lead,Full-time,L,US,US,Government,100,15.3,Bachelors
AI Engineer,Mid,Full-time,L,GB,GB,Government,0,3.1,Bachelors
Data Analyst,Senior,Full-time,M,GB,PL,Consulting,0,9.0,Masters
Machine Learning Engineer,Senior,Full-time,M,IN,IN,Healthcare,100,10.6,Bachelors
Machine Learning Engineer,Senior,Full-time,M,US,US,Energy,50,12.1,Bachelors
Research Scientist,Senior,Full-time,S,US,US,Finance,0,8.7,PhD
AI Engineer,Mid,Full-time,L,IN,IN,Finance,0,8.6,Masters
Machine Learning Engineer,Mid,Full-time,S,NL,NL,Technology,100,6.0,PhD
Data Engineer,Senior,Full-time,S,IN,IN,Healthcare,100,8.8,Bootcamp
AI Engineer,Lead,Full-time,M,CA,CA,Technology,0,13.7,Bootcamp
Data Science Manager,Lead,Full-time,S,US,US,Technology,0,16.1,PhD
AI Engineer,Mid,Full-time,M,ES,ES,Technology,50,4.9,Bachelors
Business Intelligence Analyst,Mid,Full-time,L,US,US,Finance,0,6.6,Bachelors
Data Scientist,Mid,Full-time,L,FR,FR,Consulting,0,7.9,Masters
Data Analyst,Senior,Full-time,L,US,US,Technology,100,10.9,Bachelors
Business Intelligence Analyst,Senior,Full-time,M,CA,CA,Retail,100,7.8,Masters
AI Engineer,Entry,Part-time,L,US,US,Technology,100,2.4,Bootcamp
Machine Learning Engineer,Lead,Contract,L,US,GB,Finance,100,15.3,Masters
Data Engineer,Mid,Part-time,M,DE,DE,Manufacturing,0,6.9,Masters
Data Engineer,Mid,Full-time,L,DE,DE,Energy,0,8.5,Bachelors
Research Scientist,Senior,Full-time,S,US,US,Retail,50,10.3,Masters
Data Engineer,Mid,Full-time,L,US,US,Technology,50,5.2,Bootcamp
Machine Learning Engineer,Senior,Full-time,M,US,GB,Education,100,8.7,Bachelors
Analytics Engineer,Senior,Full-time,L,IN,IN,Technology,0,9.0,Bachelors
Computer Vision Engineer,Lead,Full-time,M,IN,IN,Healthcare,50,16.0,Bachelors
Data Science Manager,Senior,Full-time,M,IN,IN,Technology,50,11.1,Masters
Machine Learning Engineer,Executive,Full-time,M,CA,CA,Government,0,21.8,Masters
Data Scientist,Mid,Full-time,M,AU,GB,Consulting,50,3.9,Masters
Data Scientist,Senior,Full-time,L,CA,US,Technology,100,10.9,Bachelors
Machine Learning Engineer,Mid,Full-time,L,GB,GB,Healthcare,50,6.1,Masters
Data Scientist,Senior,Full-time,S,US,US,Government,0,9.6,Masters
Data Scientist,Senior,Full-time,M,US,US,Media,100,8.1,Masters
Data Analyst,Mid,Full-time,M,GB,IN,Finance,100,7.5,Masters
Data Science Manager,Senior,Part-time,M,US,US,Technology,0,8.3,PhD
Data Analyst,Mid,Full-time,M,DE,US,Finance,100,5.5,Masters
Data Scientist,Lead,Freelance,S,IN,IN,Finance,50,11.3,Masters
Computer Vision Engineer,Mid,Full-time,L,DE,DE,Finance,50,3.7,Masters
AI Engineer,Mid,Full-time,L,IN,IN,Technology,100,6.4,Masters
MLOps Engineer,Mid,Full-time,L,ES,ES,Healthcare,0,7.3,Masters
Data Engineer,Mid,Full-time,S,PL,PL,Finance,0,8.0,Bootcamp
Computer Vision Engineer,Mid,Full-time,S,IN,IN,Healthcare,0,7.8,Bootcamp
Data Science Manager,Senior,Part-time,L,FR,FR,Retail,100,8.2,Masters
AI Engineer,Mid,Full-time,M,US,US,Energy,0,7.6,Masters
Data Science Manager,Mid,Full-time,L,AU,AU,Retail,0,4.8,Bachelors
Machine Learning Engineer,Entry,Full-time,M,DE,DE,Technology,0,4.0,PhD
Machine Learning Engineer,Senior,Full-time,M,US,US,Technology,100,12.6,Self-taught
Analytics Engineer,Executive,Full-time,S,DE,DE,Finance,50,17.3,Self-taught
Research Scientist,Senior,Full-time,M,DE,DE,Healthcare,50,11.5,Masters
Data Analyst,Lead,Contract,M,IN,IN,Technology,0,16.4,Bachelors
Machine Learning Engineer,Mid,Full-time,S,DE,DE,Finance,0,5.5,Bachelors
Data Scientist,Lead,Full-time,M,PL,PL,Manufacturing,100,13.9,Bachelors
Business Intelligence Analyst,Entry,Full-time,S,US,US,Technology,0,3.0,Bachelors
AI Engineer,Executive,Full-time,L,DE,DE,Finance,100,20.3,Masters
Data Scientist,Lead,Full-time,S,US,US,Retail,0,16.3,Masters
Computer Vision Engineer,Executive,Full-time,L,US,US,Consulting,100,15.7,Self-taught
Data Science Manager,Mid,Contract,M,CA,CA,Consulting,100,3.9,Bachelors
MLOps Engineer,Entry,Full-time,M,US,PL,Government,100,3.0,Masters
Machine Learning Engineer,Senior,Contract,L,US,US,Manufacturing,50,14.1,Bachelors
AI Engineer,Entry,Full-time,S,US,US,Finance,100,0.2,Bachelors
Data Scientist,Senior,Contract,M,US,US,Media,100,12.9,Bachelors
Data Scientist,Mid,Part-time,L,US,US,Technology,100,3.3,Bachelors
Data Engineer,Entry,Part-time,S,IN,IN,Consulting,0,0.0,Self-taught
Machine Learning Engineer,Mid,Full-time,M,US,US,Education,0,6.5,Masters
Analytics Engineer,Entry,Full-time,L,FR,FR,Healthcare,50,4.1,PhD
Data Analyst,Mid,Full-time,L,US,US,Retail,100,5.8,Masters
Data Scientist,Mid,Part-time,M,IN,US,Consulting,100,7.8,Bachelors
MLOps Engineer,Mid,Full-time,M,US,US,Consulting,50,2.9,Bootcamp
Business Intelligence Analyst,Entry,Full-time,L,US,US,Consulting,100,2.0,Bachelors
Business Intelligence Analyst,Senior,Full-time,S,IN,IN,Manufacturing,0,10.9,Bachelors
Analytics Engineer,Senior,Full-time,M,IN,FR,Healthcare,100,11.0,Masters
Data Science Manager,Senior,Full-time,M,GB,GB,Consulting,50,13.4,Bachelors
Machine Learning Engineer,Senior,Full-time,L,US,US,Technology,0,11.9,Bachelors
Analytics Engineer,Senior,Full-time,S,GB,GB,Technology,100,11.6,Bootcamp
Machine Learning Engineer,Executive,Full-time,S,GB,GB,Consulting,0,21.1,Masters
Data Engineer,Lead,Full-time,M,US,US,Consulting,0,13.9,Bachelors
Computer Vision Engineer,Senior,Contract,M,US,US,Finance,0,7.2,Bootcamp
Machine Learning Engineer,Lead,Full-time,S,FR,FR,Manufacturing,100,12.8,Bachelors
Analytics Engineer,Senior,Full-time,M,CA,CA,Healthcare,50,10.0,Masters
Machine Learning Engineer,Mid,Contract,M,FR,FR,Healthcare,100,1.9,Masters
Data Scientist,Senior,Full-time,L,US,US,Technology,0,13.2,PhD
Data Scientist,Senior,Full-time,S,US,US,Finance,0,10.8,Bootcamp
Machine Learning Engineer,Executive,Full-time,M,IN,US,Consulting,50,18.3,Masters
MLOps Engineer,Mid,Full-time,M,CA,CA,Finance,0,3.6,Bachelors
Analytics Engineer,Mid,Part-time,M,US,US,Media,0,5.0,Bachelors
Data Engineer,Entry,Full-time,S,CA,CA,Consulting,50,0.5,Bachelors
Data Scientist,Senior,Full-time,L,CA,CA,Healthcare,0,11.0,PhD
AI Engineer,Mid,Full-time,L,DE,DE,Finance,0,1.2,Masters
Data Analyst,Senior,Full-time,M,AU,AU,Manufacturing,50,7.8,Self-taught
Data Engineer,Lead,Part-time,M,NL,US,Healthcare,100,15.7,Bachelors
AI Engineer,Lead,Full-time,S,US,US,Media,0,16.7,Bootcamp
Data Engineer,Entry,Full-time,M,BR,BR,Finance,0,1.1,Bachelors
Machine Learning Engineer,Senior,Full-time,M,GB,GB,Technology,0,12.9,Bachelors
Data Scientist,Senior,Full-time,L,AU,AU,Manufacturing,50,10.0,Masters
Data Analyst,Mid,Full-time,S,GB,GB,Manufacturing,50,5.3,Bachelors
LLM Engineer,Mid,Full-time,L,FR,FR,Technology,100,5.5,Self-taught
Machine Learning Engineer,Senior,Part-time,M,US,US,Finance,100,11.0,Bootcamp
Business Intelligence Analyst,Mid,Full-time,S,US,US,Technology,100,6.4,Bachelors
Business Intelligence Analyst,Mid,Contract,L,US,US,Finance,50,8.8,Bachelors
Data Analyst,Lead,Full-time,L,IN,IN,Finance,50,14.0,Masters
Data Engineer,Entry,Full-time,M,NL,NL,Finance,100,1.3,Bachelors
Machine Learning Engineer,Executive,Full-time,S,CA,CA,Healthcare,100,17.9,Bachelors
Data Scientist,Senior,Full-time,L,CA,CA,Finance,0,10.7,Bachelors
Data Scientist,Executive,Full-time,M,US,US,Technology,0,18.9,Masters
LLM Engineer,Senior,Full-time,M,US,US,Retail,0,7.1,Masters
LLM Engineer,Senior,Full-time,M,US,US,Technology,0,8.0,Masters
Data Engineer,Lead,Full-time,M,DE,AU,Media,100,14.4,Bootcamp
MLOps Engineer,Mid,Full-time,M,US,US,Finance,50,5.7,Masters
Machine Learning Engineer,Lead,Full-time,S,IN,IN,Finance,0,12.0,Masters
Analytics Engineer,Entry,Full-time,S,US,US,Technology,0,2.0,Bootcamp
Data Engineer,Senior,Full-time,L,US,US,Consulting,100,9.3,Masters
Machine Learning Engineer,Mid,Full-time,L,US,US,Finance,100,8.5,Bachelors
Business Intelligence Analyst,Lead,Full-time,M,US,US,Finance,0,18.1,Bachelors
LLM Engineer,Mid,Contract,M,IN,IN,Technology,0,4.0,Bachelors
Data Engineer,Senior,Contract,L,FR,FR,Technology,50,12.0,Bachelors
Business Intelligence Analyst,Mid,Full-time,L,IN,IN,Healthcare,0,3.0,Masters
Data Engineer,Mid,Full-time,M,DE,DE,Finance,50,8.4,Bootcamp
MLOps Engineer,Senior,Full-time,M,US,US,Manufacturing,50,9.9,Bachelors
MLOps Engineer,Mid,Full-time,S,PL,PL,Technology,50,3.8,Bachelors
Data Engineer,Mid,Contract,M,US,BR,Healthcare,0,7.3,Bachelors
LLM Engineer,Senior,Full-time,M,US,US,Healthcare,50,10.8,Bootcamp
Machine Learning Engineer,Senior,Full-time,S,GB,GB,Government,50,12.2,Bachelors
Data Science Manager,Senior,Full-time,S,CA,DE,Technology,100,10.9,Masters
Computer Vision Engineer,Entry,Full-time,S,US,US,Technology,50,0.7,Masters
Business Intelligence Analyst,Lead,Full-time,M,US,US,Technology,100,15.2,Bachelors
Business Intelligence Analyst,Mid,Part-time,M,CA,CA,Government,50,7.0,PhD
Data Scientist,Entry,Contract,M,IN,IN,Technology,50,3.8,Bachelors
Research Scientist,Senior,Full-time,L,GB,GB,Technology,100,9.4,PhD
Analytics Engineer,Senior,Full-time,S,DE,DE,Technology,50,12.3,Masters
Machine Learning Engineer,Entry,Full-time,L,IN,IN,Retail,100,1.6,Masters
